role,title,company,city_clean,region,country,job_count
Data Scientist,Data System Engineer (w/m/d),DENIC eG,Frankfurt Am Main,,Germany,1
Data Scientist,Business Data Analyst (m/w/d),DENIC eG,Frankfurt Am Main,,Germany,1
Data Scientist,Data Analyst - Collections (w/m/d),ING Deutschland,Frankfurt Am Main,,Germany,1
Data Scientist,Werkstudent Data & Analytics (m/w/d),crossnative GmbH,Hamburg,,Germany,1
Data Scientist,Praktikum Data Science,Lidl Dienstleistung GmbH & Co. KG,Neckarsulm,,Germany,1
Data Scientist,LIMS Data Manager  (m/w/d),Hays Professional Solutions GmbH Standort Frankfurt,Frankfurt Am Main,,Germany,1
Data Scientist,Mitarbeiter:in - Telematik & Data (m/w/d),STRABAG BMTI GmbH & Co. KG,Köln,,Germany,1
Data Scientist,Data Model Architect (w/m/d),Siemens Energy Global GmbH & Co. KG,Görlitz,Neiße,Germany,1
Data Scientist,Werkstudent (w/m/d) Data & AI Enablement,Siemens AG,München,,Germany,1
Data Scientist,(Senior) ML Engineer / Data Scientist Customer Data (m/w/d),Deichmann,Essen,Ruhr,Germany,1
Data Scientist,"Data Scientist / Aktuar - Zukunft Gebäudeversicherung (all genders) Münster, Düsseldorf, Detmold",Provinzial Holding AG,Düsseldorf,,Germany,1
Data Scientist,Applied Scientist - Demand Forecast (all genders),Zalando SE,Berlin,,Germany,1
Data Scientist,Senior Data Scientist - Flex Trading Strategy Development (f/m/d),E.ON SE,Essen,Ruhr,Germany,1
Data Scientist,"(Senior) Data Scientist (w/m/d) - infas 360, Bonn infas 360",Ipsos GmbH,Bonn,,Germany,1
Data Scientist,Principal Applied Scientist - ZMS (all genders),Zalando SE,Berlin,,Germany,1
Data Scientist,Experienced Data Engineer (f/m/d),Siemens Energy Global GmbH & Co. KG,Berlin,,Germany,1
Data Scientist,Data and Application Manager (m/w/d),Hays Professional Solutions GmbH,Mainz Am Rhein,,Germany,1
Data Scientist,Projektmanager Data Analytics & AI (m/w/d),Heynberg GmbH,München,,Germany,1
Data Scientist,"Principal Scientist, Analytical Development (SMOL), (m/f/d)",Elanco Animal Health GmbH,Monheim Am Rhein,,Germany,1
Data Scientist,Data Engineer Power BI / Databricks (m/w/d),Hays Professional Solutions GmbH,Mülheim An Der Ruhr,,Germany,1
Data Scientist,Data Governance & Protection Expert (w/m/d),ING Deutschland,Frankfurt Am Main,,Germany,1
Data Scientist,Data Analyst im Marineschiffbau (m/w/d),Rheinmetall AG,Bremen,,Germany,1
Data Scientist,Data & Power Platform Specialist (w/m/d),Brunel GmbH NL Bielefeld,Gütersloh,,Germany,1
Data Scientist,(Senior) Data & AI Specialist,CreditPlus Bank AG,Stuttgart,,Germany,1
Data Scientist,Werkstudent (m/w/d) Data Analyst im Reportingbereich,Körber AG,Markt Schwaben,,Germany,1
Data Scientist,Data Engineer Process Mining (m/w/d),Hays Professional Solutions GmbH,Düsseldorf,,Germany,1
Data Scientist,Pflichtpraktikum in Data Science / REF279742V,Robert Bosch GmbH,Schwieberdingen,,Germany,1
Data Scientist,Praktikum Data Science - Immobilien,Lidl Dienstleistung GmbH & Co. KG,Neckarsulm,,Germany,1
Data Scientist,Werkstudent Data Analytics und Statistiken (m/w/d),ARAG Krankenversicherungs-AG,München,,Germany,1
Data Scientist,Data Analyst - Collections (f/m/x),ING Deutschland,Frankfurt Am Main,,Germany,1
Data Scientist,Praktikum Data Analytics & Digitalisierung,Lidl Dienstleistung GmbH & Co. KG,Neckarsulm,,Germany,1
Data Scientist,Senior Informatiker*in / Data Specialist (m/w/d),Universitätsmedizin der Johannes Gutenberg-Universität Mainz,Mainz Am Rhein,,Germany,1
Data Scientist,Senior Consultants (w/m/d) – Data & Analytics,drjve AG,Köln,,Germany,1
